"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"HDFCBANK","09-SEP-2026","03-NOV-2026","XN","0.35","0.35","0.35","0.40","0.35","0.40","0.07","9,000","3,150.00","7"
"HDFCBANK","09-SEP-2026","02-MAR-2027","X3","1.10","1.10","1.10","1.10","1.10","10.47","0.01","7","7.70","2"
"HDFCBANK","08-SEP-2026","02-MAR-2027","X3","1.00","1.10","1.00","3.00","1.10","10.47","0.01","155","167.70","2"
"HDFCBANK","08-SEP-2026","03-NOV-2026","XN","0.40","0.40","0.40","0.25","0.40","0.40","0.07","5,000","2,000.00","5"
"HDFCBANK","08-SEP-2026","01-DEC-2026","XD","0.50","0.50","0.50","0.50","0.50","0.50","0.01","85","42.50","1"
"HDFCBANK","07-SEP-2026","03-NOV-2026","XN","0.25","0.25","0.25","0.29","0.25","0.35","0.07","4,027","1,006.75","7"
"HDFCBANK","07-SEP-2026","01-DEC-2026","XD","0.50","0.50","0.50","0.39","0.50","0.50","0.01","9,876","4,938.00","13"
"HDFCBANK","04-SEP-2026","02-MAR-2027","X3","1.50","3.00","1.50","2.00","3.00","10.47","0.01","76","115.50","2"
"HDFCBANK","04-SEP-2026","01-DEC-2026","XD","0.39","0.39","0.39","0.07","0.39","0.44","0.01","8","3.12","1"
"HDFCBANK","04-SEP-2026","03-NOV-2026","XN","0.29","0.29","0.29","0.35","0.29","0.35","0.07","5,000","1,450.00","2"
"HDFCBANK","03-SEP-2026","03-NOV-2026","XN","0.35","0.35","0.35","0.09","0.35","0.35","0.07","5,000","1,750.00","4"
"HDFCBANK","03-SEP-2026","02-MAR-2027","X3","6.00","6.00","1.50","1.50","2.00","10.47","0.01","652","1,311.50","11"
"HDFCBANK","03-SEP-2026","06-OCT-2026","XO","0.24","0.24","0.24","0.18","0.24","0.25","0.01","9","2.16","1"
"HDFCBANK","02-SEP-2026","02-MAR-2027","X3","10.47","10.47","1.50","1.50","1.50","10.47","0.01","1,028","1,550.97","21"
"HDFCBANK","01-SEP-2026","06-OCT-2026","XO","0.18","0.18","0.18","0.18","0.18","0.25","0.01","1,300","234.00","2"
"HDFCBANK","01-SEP-2026","02-MAR-2027","X3","1.50","1.50","1.50","0.75","1.50","2.00","0.01","1,003","1,504.50","10"
"HDFCBANK","31-AUG-2026","02-MAR-2027","X3","0.75","0.75","0.75","2.00","0.75","2.00","0.01","532","399.00","5"
"HDFCBANK","28-AUG-2026","06-OCT-2026","XO","0.10","0.18","0.10","0.10","0.18","0.25","0.01","3,250","584.92","3"
"HDFCBANK","27-AUG-2026","06-OCT-2026","XO","0.19","0.19","0.10","0.21","0.10","0.25","0.01","1,967","372.20","4"
"HDFCBANK","25-AUG-2026","06-OCT-2026","XO","0.01","0.25","0.01","0.01","0.21","0.25","0.01","12,096","2,653.66","7"
"HDFCBANK","25-AUG-2026","02-MAR-2027","X3","2.00","2.00","2.00","0.04","2.00","2.00","0.01","100","200.00","3"
"HDFCBANK","24-AUG-2026","01-SEP-2026","X9","0.01","0.01","0.01","0.19","0.01","4.21","0.01","27","0.27","1"
"HDFCBANK","22-AUG-2026","01-SEP-2026","X9","150.00","150.00","150.00","0.19","150.00","150.00","0.01","7,000","10,50,000.00","7"
